,Id,L1_S24_F1510,L1_S24_F1525,L1_S24_F1559,L1_S24_F1582,L1_S24_F1827,L3_S32_F3851,L3_S32_F3854,L3_S30_D3496,L3_S30_D3501,L3_S30_D3506,L3_S30_D3511,L3_S30_D3516,L3_S33_D3856,StartTime,test_1,test_2,test_3,test_4,L0_S0_F0,L0_S0_F16,L0_S0_F20,L1_S24_F1604,L1_S24_F1632,L1_S24_F1695,L1_S24_F1723,L1_S24_F1846,L3_S29_F3407,L3_S30_F3749,L3_S30_F3759,L3_S32_F3850,L3_S33_F3855,L3_S33_F3865,L3_S38_F3952,Response,mindate,mindate_id_diff,mindate_id_diff_reverse
317,610,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.00568469349887,0.0060099489019,0.00574851814646,0.0,0.043,0.138,-0.106,,,,,,0.101,-0.141,-0.143,,-0.074,0.01,,0,671.67,-2350689.0,-3396.0
319,613,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.03,-0.016,-0.088,,,,,,0.063,0.297,-0.138,,-0.029,0.035,,0,962.78,-2365012.0,-3070.0
321,616,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.00835899692037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,0.016,-0.026,0.242,,,,,,0.104,-0.012,0.11,-0.019,-0.165,-0.136,,0,1575.48,-2342262.0,-44432.0
323,620,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.00515256426014,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,-0.029,-0.092,-0.248,,,,,,,,,,,,,0,1412.6,-2354243.0,-4229.0
325,625,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00540177371674,0.00574851814646,0.0,,,,,,,,,0.037,0.14,0.03,,0.017,0.035,,0,280.7,-2361450.0,-4303.0
327,631,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,-0.007,0.027,0.166,0.057,-0.069,0.004,,-0.119,-0.079,,0,793.4,-2328860.0,-3003.0
329,633,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00540177371674,0.0135473876919,0.0752187411798,-0.016,-0.046,-0.044,,,,,,0.037,-0.144,0.07,,-0.029,0.051,,0,263.25,1.0,-1.0
331,638,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.00640403168119,,,,,,,,,0.063,0.214,0.006,,-0.165,-0.071,,0,1018.13,-101195.0,-113743.0
333,643,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.015,-0.159,-0.104,,-0.029,-0.022,,0,239.28,-2345728.0,-67300.0
335,649,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,0.062,-0.046,0.309,,,,,,0.104,-0.036,-0.001,,0.153,0.108,,0,1511.5,-2362318.0,-54114.0
337,652,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,0.043,-0.092,0.056,,,,,,0.082,-0.093,0.008,,0.017,0.148,,0,1323.49,-2315363.0,-6139.0
339,656,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00732285160457,0.00574851814646,0.0,0.036,-0.194,0.185,,,,,,0.037,0.0,-0.127,,0.062,0.043,,0,343.26,-2348890.0,-57265.0
341,664,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00540177371674,0.00574851814646,0.0,-0.082,-0.077,-0.218,,,,,,0.101,-0.173,-0.059,,-0.074,-0.006,,0,592.12,-2294827.0,-4829.0
343,669,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,,,,0.063,0.082,-0.161,,0.062,-0.006,,0,1159.16,-2326300.0,-6470.0
345,673,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.0135473876919,0.00640403168119,,,,,,,,,0.037,0.028,-0.131,,0.017,0.148,,0,341.93,1.0,-73581.0
347,675,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.003,0.056,0.101,,,,,,0.057,-0.166,-0.127,,-0.074,-0.055,,0,704.33,-2218130.0,-54139.0
349,678,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00570678999824,0.0,0.0,-0.075,0.117,-0.231,,,,,,0.063,0.233,-0.121,,-0.029,-0.128,,0,943.45,-2363847.0,-13977.0
351,682,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,-0.14,0.097,-0.193,,,,,,0.104,0.17,0.03,,0.108,0.026,,0,1457.22,-2364546.0,-6323.0
353,685,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00732285160457,0.00574851814646,0.0,,,,,,,,,0.057,0.167,0.046,,0.062,-0.128,,0,887.48,-2366195.0,-82795.0
355,692,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.075,-0.184,-0.337,,,,,,0.037,-0.042,0.106,,-0.119,-0.095,,0,259.11,-2363173.0,-1705.0
357,694,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.0,0.0,,,,,,,,,,-0.081,0.04,,-0.119,-0.014,,0,786.47,-2305514.0,-2136.0
359,697,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.00515256426014,0.0,0.00591507973527,0.00540177371674,0.00574851814646,0.0,0.056,0.107,-0.318,,,,,,,,,,,,,0,1393.89,-2304706.0,-4549.0
361,702,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,-0.008,-0.07,,,-0.217,0.063,0.014,-0.15,,-0.029,0.091,,0,1189.27,-2313311.0,-7946.0
363,709,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00510481155642,0.00570678999824,0.00574851814646,0.0,-0.003,-0.016,0.099,,,,,,0.101,0.116,-0.142,,-0.074,0.01,,0,600.45,-2366402.0,-28003.0
365,713,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00540177371674,0.00574851814646,0.0,-0.088,-0.133,-0.276,,,,,,0.037,0.073,-0.147,,0.017,0.108,,0,369.21,-2314201.0,-10471.0
367,718,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00609756097561,0.00574851814646,0.0,,,,,,,,,0.082,0.047,-0.009,,0.153,-0.177,,0,1408.45,-2282707.0,-2166.0
369,724,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.00640403168119,-0.003,-0.082,-0.01,,,,,,0.063,0.091,0.072,,-0.074,0.124,,0,1211.12,-2337107.0,-92339.0
371,726,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.068,0.102,0.127,,,,,,0.037,0.192,0.053,,0.062,0.002,,0,269.27,-2364729.0,-63011.0
373,729,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0285714285714,0.03,-0.036,-0.159,,,,,,0.082,-0.098,0.144,,-0.029,-0.014,,0,1324.35,-2305573.0,-4344.0
375,731,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.0,,,,,,,,,0.015,-0.166,-0.098,,-0.074,0.116,,0,233.94,-2365179.0,-1654.0
377,735,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.121,-0.174,-0.183,,,,,,0.015,-0.179,-0.056,,0.017,-0.006,,0,235.77,-1398673.0,-63324.0
379,738,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00609756097561,0.0135473876919,0.0752187411798,-0.082,-0.005,0.07,,,,,,0.082,-0.015,-0.026,,0.017,0.1,,0,559.12,1.0,-1.0
381,744,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.101,-0.047,-0.097,,0.017,-0.047,,0,571.23,-2315031.0,-6690.0
383,746,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.037,-0.165,-0.119,,-0.074,0.059,,0,251.14,-2311606.0,-10537.0
385,748,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.063,0.232,0.061,,0.017,-0.039,,0,1030.59,-1097737.0,-1729.0
387,753,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,-0.029,-0.163,-0.026,,,,,,0.037,0.015,0.148,,0.017,0.262,,0,275.64,-2308970.0,-4178.0
389,755,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,-0.702,-0.173,0.275,,-0.119,-0.12,,0,68.97,-2346453.0,-54210.0
391,757,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,0.056,0.005,-0.228,,,,,,0.057,0.119,0.097,,0.062,-0.03,,0,894.87,-2290829.0,-1956.0
393,760,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0752187411798,,,,,,,,,-0.702,-0.174,0.034,,0.062,-0.063,,0,131.64,-734625.0,-1.0
395,763,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,-0.769,-0.174,0.063,,-0.347,0.067,,0,155.86,-2306346.0,-36587.0
397,766,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,-0.008,-0.007,,,-0.131,0.057,-0.034,0.028,,-0.074,-0.112,,0,804.15,-2366448.0,-56644.0
399,771,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,-0.153,-0.046,-0.022,,,,,,0.037,-0.183,0.015,,-0.165,0.043,,0,255.59,-2358451.0,-2702.0
401,775,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.00574851814646,0.0,0.056,0.03,0.053,,,,,,-0.702,-0.184,0.124,,-0.165,0.083,,0,140.37,-2296133.0,-1766.0
403,777,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,,,,,,0.043,0.045,0.195,0.063,0.013,0.07,,-0.029,-0.014,,0,1124.27,-2365300.0,-8025.0
405,780,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.0204081632653,0.036,0.056,0.052,,,,,,-0.702,-0.181,0.184,,0.062,-0.03,,0,104.21,-2361157.0,-4086.0
407,784,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0752187411798,,,,,,,,,0.063,0.272,0.057,,0.017,-0.079,,0,992.82,-2342701.0,-1.0
409,789,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00570678999824,0.00574851814646,0.0169491525424,,,,,,,,,-0.029,-0.173,0.004,,-0.029,-0.03,,0,197.59,-2361311.0,-2865.0
411,796,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,-0.127,0.066,0.192,,,,,,0.082,-0.141,0.197,,-0.119,0.157,,0,572.09,-2355020.0,-3356.0
413,800,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.0135473876919,0.0752187411798,,,,,,,,,0.104,0.114,0.197,,-0.119,-0.014,,0,1463.3,1.0,-1.0
415,803,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.00615479476415,0.00615480577731,0.00615637498544,0.00615637498544,0.00615637498544,0.00515256426014,0.0,0.00591507973527,0.00609756097561,0.00574851814646,0.0,-0.036,0.087,-0.288,,,,,,,,,,,,,0,1442.87,-2307240.0,-30990.0
417,810,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.037,-0.161,0.145,,-0.21,-0.079,,0,391.53,-2329374.0,-62015.0
419,813,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00609756097561,0.00574851814646,0.0,-0.042,0.143,0.157,,,,,,0.104,0.361,-0.023,,-0.119,-0.055,,0,1568.89,-2366641.0,-2621.0
421,821,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.0060099489019,0.0135473876919,0.0,0.056,0.0,-0.249,,,,,,0.057,-0.034,-0.034,,0.017,-0.12,,0,838.85,1.0,-57571.0
423,824,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.063,-0.085,0.253,,0.108,0.067,,0,1031.75,-2359994.0,-5818.0
425,826,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.088,0.107,0.279,,,,,,0.104,0.259,0.154,,-0.119,0.026,,0,1560.44,-2302881.0,-1670.0
427,831,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543507652371,0.00574228697231,0.00574851814646,0.0,0.01,-0.041,0.185,,,,,,0.037,-0.177,0.088,,-0.029,0.035,,0,253.6,-2358212.0,-3361.0
429,834,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.00640403168119,-0.042,-0.041,0.179,,,,,,0.037,0.216,0.144,,-0.029,0.018,,0,269.42,-2363785.0,-1627852.0
431,842,0.0089159864949,0.00892351045395,0.00897940291599,0.194805194805,0.00893572627345,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00598006644518,0.00574228697231,0.00574851814646,0.0,,,,-0.008,-0.052,,,-0.193,0.063,0.211,-0.067,,0.199,-0.063,,0,980.55,-2359392.0,-25784.0
433,844,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.01,-0.097,-0.331,,,,,,0.104,-0.109,0.068,,-0.119,-0.055,,0,1650.2,-2305673.0,-1624.0
435,851,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00490035935969,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.063,0.164,-0.034,,0.199,0.051,,0,1124.09,-2324876.0,-11826.0
437,855,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00540177371674,0.00574851814646,0.0,0.01,-0.005,0.163,,,,,,-0.702,-0.151,-0.019,,0.153,0.026,,0,52.34,-732337.0,-7935.0
439,860,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,-0.088,0.01,-0.025,,,,,,0.104,0.119,-0.064,,-0.165,0.108,,0,1566.98,-2361932.0,-3613.0
441,862,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00570678999824,0.00574851814646,0.00640403168119,,,,,,,,,0.104,0.029,0.018,,0.108,0.108,,0,1490.94,-2266226.0,-92364.0
443,867,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,0.01,0.107,0.012,,,,,,0.082,-0.002,-0.116,,-0.029,0.148,,0,1339.23,-2362654.0,-8092.0
445,870,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.036,-0.046,0.005,,,,,,0.057,0.128,-0.009,,0.017,0.035,,0,902.55,-1923474.0,-3356.0
447,872,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.063,0.034,0.09,,0.199,0.002,,0,1039.85,-2361456.0,-4695.0
449,874,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00609756097561,0.0135473876919,0.0,0.023,-0.158,-0.188,,,,,,0.101,0.281,-0.098,,0.108,-0.095,-0.002,0,594.37,1.0,-10284.0
451,882,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00574228697231,0.00574851814646,0.0,-0.062,-0.179,-0.28,,,,,,0.101,-0.148,-0.131,,-0.165,-0.177,,0,638.02,-2366534.0,-5364.0
453,885,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.0060099489019,0.00574851814646,0.0,0.082,0.127,0.261,,,,,,0.037,-0.008,-0.002,,0.199,0.083,,0,339.46,-2308892.0,-3260.0
455,890,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.0,0.05,0.00633065828001,0.00574228697231,0.00574851814646,0.0,0.134,-0.046,0.279,,,,,,0.101,-0.051,-0.091,,-0.074,0.01,,0,672.81,-2365600.0,-5868.0
457,892,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.016,0.056,-0.332,,,,,,0.082,-0.141,0.091,,0.017,0.067,,0,510.44,-2229815.0,-10179.0
459,896,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633065828001,0.00570678999824,0.00574851814646,0.0,-0.023,0.245,-0.152,,,,,,0.063,-0.161,0.299,,0.017,-0.03,,0,1239.39,-2362982.0,-7971.0
461,901,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591507973527,0.00574228697231,0.00574851814646,0.0,-0.003,0.066,0.166,,,,,,0.104,0.069,0.061,,-0.029,-0.177,,0,1599.79,-2334995.0,-18576.0
463,903,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.088,0.056,-0.203,,,,,,0.063,-0.038,0.082,,0.199,0.002,,0,1107.74,-2324021.0,-29575.0
465,905,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.0060099489019,0.00574851814646,0.0,-0.042,-0.327,-0.203,,,,,,0.057,0.18,0.036,,-0.029,-0.079,,0,892.11,-2364057.0,-67204.0
467,908,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,0.049,0.041,0.078,,,,,,0.101,0.087,0.112,,0.062,-0.014,,0,654.98,-2358018.0,-66958.0
469,910,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.057,-0.15,-0.153,,0.108,-0.063,,0,808.57,-2299986.0,-63640.0
471,912,0.0089370412834,0.00894421903595,0.008979402916,0.194805194805,0.00893572627346,0.0529242747243,0.0525614914242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00568469349887,0.00574228697231,0.00574851814646,0.0,,,,,,,,,0.082,0.136,-0.12,,-0.074,-0.209,,0,466.99,-1329215.0,-1470.0
